ID,wgIEX_06_1a_10242015,wgIEX_15_1a_10242015,wgIEX_16_1a_10242015,wgIEX_18_1a_10242015,wgIEX_19_1a_10242015,wgIEX_20_1a_10242015,wgIEX_21_1a_10242015,wgIEX_22_1a_10242015,wgIEX_24_1a_10242015,wgIEX_25_1a_10242015,wgIEX_26_1a_10242015,wgIEX_27_1a_10242015,wgIEX_29_1a_10242015,wgIEX_30_1a_10242015,wgIEX_31_1a_10242015,wgIEX_32_1a_10242015,wgIEX_33_1a_10242015,wgIEX_33_1b_11012015,wgIEX_34_1a_10242015,wgIEX_35_1a_10242015,wgIEX_37_1a_10242015,wgIEX_38_1a_10242015,wgIEX_39_1a_10242015,wgIEX_40_1a_10242015,wgIEX_41_1a_10242015,wgIEX_42_1a_10242015,wgIEX_43_1a_10242015,wgIEX_44_1a_10242015,wgIEX_45_1a_10242015,wgIEX_46_1a_10242015,wgIEX_47_1a_10242015,wgIEX_48_1a_10242015,wgIEX_49_1a_10242015,wgIEX_50_1a_10242015,wgIEX_51_1a_10242015,wgIEX_52_1a_10242015,wgIEX_53_1a_10242015,wgIEX_54_1a_10242015
ENOG411DPMX,0,0,0,0,0,0,0,16,38,41,31,25,16,20,5,10,14,17,9,13,12,11,12,6,6,8,4,4,1,7,0,2,1,0,3,0,0,2
ENOG411DPN2,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
ENOG411DPN5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ENOG411DPN6,0,25,26,7,2,0,2,2,0,0,0,1,1,1,0,2,0,2,2,2,6,2,7,5,6,9,5,9,2,6,4,4,1,1,0,2,2,2
ENOG411DPN8,0,0,22,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENOG411DPNI,0,0,0,0,1,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENOG411DPNM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ENOG411DPNP,0,0,0,0,0,0,0,0,0,0,1,110,4,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
ENOG411DPNQ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
